date,title,artist,view_type,Global_position,Global_streams,US_position,US_streams,PH_position,PH_streams,AU_position,AU_streams,CA_position,CA_streams,GB_position,GB_streams,MY_position,MY_streams,TW_position,TW_streams,DE_position,DE_streams,SG_position,SG_streams,KR_position,KR_streams,NZ_position,NZ_streams,HK_position,HK_streams,HU_position,HU_streams,SE_position,SE_streams,NO_position,NO_streams,AE_position,AE_streams,SA_position,SA_streams,IS_position,IS_streams,song_id,MX_position,MX_streams,ID_position,ID_streams,BR_position,BR_streams,FR_position,FR_streams,PL_position,PL_streams,ES_position,ES_streams,TH_position,TH_streams,NL_position,NL_streams,CL_position,CL_streams,IT_position,IT_streams,JP_position,JP_streams,AR_position,AR_streams,CO_position,CO_streams,PE_position,PE_streams,ZA_position,ZA_streams,DK_position,DK_streams,BE_position,BE_streams,CZ_position,CZ_streams,CH_position,CH_streams,AT_position,AT_streams,IE_position,IE_streams,FI_position,FI_streams,PT_position,PT_streams,NG_position,NG_streams,IL_position,IL_streams,RO_position,RO_streams,GR_position,GR_streams,SK_position,SK_streams,EC_position,EC_streams,CR_position,CR_streams,PK_position,PK_streams,VE_position,VE_streams,GT_position,GT_streams,BO_position,BO_streams,UA_position,UA_streams,VN_position,VN_streams,PA_position,PA_streams,LT_position,LT_streams,KZ_position,KZ_streams,DO_position,DO_streams,BG_position,BG_streams,SV_position,SV_streams,LV_position,LV_streams,EE_position,EE_streams,PY_position,PY_streams,HN_position,HN_streams,LU_position,LU_streams,UY_position,UY_streams,CY_position,CY_streams
2025-06-26,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,weekly,,,,,193,768172,,,,,,,83,149434,87,114286,,,64,91042,,,,,,,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,weekly,80.0,11203921.0,102.0,2815814.0,65,1328895,142.0,358181.0,131.0,396934.0,,,25,295373,12,282096,,,24,173391,52.0,115684.0,127.0,62271.0,66.0,60262.0,189.0,41345.0,,,,,131.0,21533.0,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-10,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,weekly,77.0,11524074.0,82.0,3064660.0,89,1189926,85.0,431787.0,95.0,463831.0,,,31,275905,16,261225,,,21,181865,37.0,128803.0,61.0,79700.0,64.0,61118.0,180.0,40305.0,,,,,113.0,22091.0,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,weekly,77.0,12450301.0,67.0,3505337.0,88,1181211,71.0,493299.0,96.0,503062.0,,,37,268576,23,258192,,,24,187436,35.0,137638.0,59.0,85105.0,60.0,64038.0,173.0,41939.0,,,,,115.0,22474.0,191.0,26209.0,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,weekly,65.0,12649990.0,61.0,3639776.0,88,1160343,53.0,530034.0,80.0,516736.0,194.0,546602.0,32,272709,21,253003,194.0,506240.0,24,191272,32.0,139143.0,44.0,95684.0,55.0,62077.0,163.0,42707.0,,,,,110.0,22194.0,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-31,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,weekly,65.0,12531974.0,56.0,3624098.0,87,1165990,56.0,550224.0,79.0,519157.0,151.0,582356.0,33,258717,21,237975,,,21,189319,39.0,123647.0,47.0,96778.0,51.0,62274.0,170.0,42491.0,,,176.0,74908.0,109.0,22100.0,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-07,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,weekly,63.0,12940554.0,47.0,3815335.0,88,1165133,44.0,614536.0,66.0,534557.0,118.0,631108.0,34,251492,19,239213,181.0,506478.0,19,192758,48.0,107336.0,36.0,102559.0,47.0,61994.0,163.0,43752.0,164.0,137397.0,137.0,83903.0,104.0,22681.0,,,168.0,7245.0,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,weekly,59.0,12988280.0,40.0,3914707.0,98,1086782,34.0,662225.0,50.0,567861.0,104.0,684022.0,34,236379,21,230386,194.0,500269.0,21,184205,58.0,99654.0,31.0,109799.0,47.0,64552.0,177.0,42584.0,136.0,149157.0,97.0,96301.0,91.0,24033.0,,,169.0,7518.0,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-26,Golden,Unknown,weekly,61.0,12137161.0,65.0,3183061.0,55,1476533,75.0,438390.0,81.0,463769.0,,,16,329341,53,141260,163.0,558448.0,13,197216,49.0,112934.0,61.0,76979.0,107.0,40888.0,85.0,59434.0,,,,,103.0,24659.0,,,,,1CPZ5BxNNd0n0nF4Orb9JS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,Golden,Unknown,weekly,4.0,28579185.0,5.0,7344062.0,7,3362614,8.0,1019363.0,6.0,1065679.0,47.0,979032.0,2,779195,5,476674,27.0,1296140.0,3,462649,6.0,370222.0,5.0,193476.0,14.0,128683.0,16.0,122701.0,82.0,211413.0,48.0,172750.0,12.0,59915.0,55.0,46754.0,66.0,11511.0,1CPZ5BxNNd0n0nF4Orb9JS,199.0,1368960.0,,,,,112.0,596527.0,42.0,479529.0,193.0,409548.0,67.0,427246.0,98.0,288451.0,92.0,333934.0,,,,,,,,,84.0,197649.0,50.0,167780.0,103.0,115701.0,75.0,127435.0,48.0,128580.0,37.0,112057.0,27.0,111317.0,139.0,81459.0,131.0,76156.0,95.0,98370.0,,,176.0,52111.0,84.0,59146.0,,,50.0,47672.0,,,156.0,49318.0,189.0,47497.0,107.0,41796.0,,,85.0,35045.0,109.0,42894.0,,,84.0,29808.0,80.0,20763.0,59.0,28257.0,,,65.0,22791.0,,,36.0,17337.0,60.0,14016.0,,,,,32.0,9989.0,,,118.0,8290.0
2025-07-10,Golden,Unknown,weekly,2.0,35786026.0,1.0,9225418.0,6,3689267,4.0,1394775.0,3.0,1447379.0,19.0,1332214.0,1,945010,3,623131,10.0,1722758.0,3,601515,2.0,598586.0,2.0,268034.0,10.0,184033.0,13.0,142408.0,24.0,361104.0,20.0,271872.0,6.0,75105.0,24.0,61117.0,36.0,17109.0,1CPZ5BxNNd0n0nF4Orb9JS,144.0,1625140.0,162.0,1317623.0,200.0,1110669.0,86.0,682683.0,26.0,633428.0,126.0,509237.0,53.0,477389.0,56.0,373886.0,65.0,404757.0,144.0,387750.0,,,,,,,64.0,231913.0,31.0,206635.0,53.0,158177.0,40.0,153902.0,26.0,149929.0,18.0,144683.0,10.0,143468.0,58.0,116129.0,69.0,115440.0,52.0,133363.0,189.0,172218.0,112.0,70517.0,50.0,75947.0,,,28.0,58251.0,,,134.0,55244.0,114.0,54950.0,91.0,47235.0,,,65.0,39006.0,94.0,45740.0,,,70.0,35077.0,46.0,27494.0,42.0,32125.0,148.0,32006.0,38.0,27160.0,,,17.0,21964.0,41.0,17045.0,,,,,22.0,12165.0,,,66.0,10907.0
2025-07-17,Golden,Unknown,weekly,2.0,41388667.0,2.0,11130174.0,5,3869604,3.0,1681834.0,2.0,1677815.0,12.0,1632695.0,1,1005464,3,670265,6.0,1992103.0,3,688872,2.0,776338.0,1.0,305068.0,10.0,212258.0,10.0,157812.0,14.0,463349.0,13.0,332661.0,3.0,78664.0,21.0,69126.0,22.0,21998.0,1CPZ5BxNNd0n0nF4Orb9JS,94.0,1935967.0,124.0,1483608.0,146.0,1305235.0,81.0,687120.0,15.0,710097.0,93.0,600425.0,52.0,497652.0,48.0,449289.0,50.0,457809.0,118.0,433412.0,173.0,365902.0,183.0,322995.0,171.0,326901.0,58.0,246453.0,30.0,231368.0,46.0,192693.0,32.0,176164.0,17.0,177212.0,10.0,167326.0,4.0,167273.0,33.0,152014.0,55.0,138769.0,41.0,156861.0,188.0,175670.0,74.0,81249.0,36.0,88092.0,178.0,91961.0,22.0,66063.0,192.0,84383.0,107.0,62309.0,124.0,64557.0,78.0,51005.0,,,57.0,41260.0,82.0,48027.0,,,62.0,39649.0,35.0,33298.0,42.0,33460.0,112.0,37823.0,29.0,31430.0,160.0,37889.0,20.0,24065.0,39.0,19274.0,,,,,13.0,14187.0,,,42.0,12729.0
2025-07-24,Golden,Unknown,weekly,1.0,46265488.0,1.0,11841715.0,5,4309804,2.0,1933714.0,2.0,1818380.0,9.0,1960871.0,1,1089605,2,832015,3.0,2140372.0,2,810309,1.0,916748.0,2.0,356376.0,5.0,267425.0,10.0,164713.0,8.0,555866.0,9.0,393153.0,4.0,88084.0,14.0,80692.0,9.0,26646.0,1CPZ5BxNNd0n0nF4Orb9JS,73.0,2162901.0,83.0,1782957.0,108.0,1490673.0,53.0,794972.0,13.0,755088.0,80.0,666763.0,37.0,574970.0,37.0,530213.0,38.0,556520.0,103.0,477167.0,91.0,493402.0,154.0,359456.0,125.0,376769.0,48.0,285831.0,38.0,240743.0,33.0,221024.0,20.0,192485.0,12.0,191250.0,6.0,175138.0,3.0,180279.0,21.0,172218.0,41.0,177137.0,31.0,172353.0,188.0,179822.0,51.0,100738.0,28.0,92295.0,142.0,101327.0,15.0,70472.0,128.0,97122.0,78.0,73415.0,106.0,70816.0,75.0,52162.0,174.0,87671.0,49.0,47533.0,82.0,46481.0,188.0,156872.0,46.0,43239.0,40.0,34876.0,33.0,34669.0,89.0,40309.0,26.0,32820.0,120.0,42213.0,19.0,25110.0,28.0,22879.0,197.0,29210.0,191.0,28625.0,10.0,15039.0,190.0,23916.0,24.0,15057.0
2025-07-31,Golden,Unknown,weekly,1.0,49180707.0,1.0,12150594.0,3,5151535,2.0,2061041.0,2.0,1887260.0,4.0,2199271.0,1,1098895,2,872470,3.0,2326518.0,2,868219,2.0,823984.0,1.0,368545.0,2.0,301078.0,11.0,172964.0,3.0,660403.0,4.0,466996.0,2.0,94788.0,12.0,80280.0,5.0,31721.0,1CPZ5BxNNd0n0nF4Orb9JS,79.0,2185054.0,73.0,2006599.0,99.0,1580996.0,50.0,866082.0,10.0,790000.0,67.0,708332.0,34.0,584371.0,25.0,580538.0,37.0,536621.0,92.0,514116.0,66.0,590424.0,127.0,380771.0,125.0,375084.0,47.0,267972.0,33.0,247609.0,23.0,258404.0,12.0,216824.0,7.0,204381.0,2.0,190065.0,3.0,190894.0,14.0,198787.0,32.0,194442.0,25.0,181958.0,198.0,174459.0,37.0,114400.0,27.0,93849.0,122.0,107963.0,14.0,73604.0,141.0,93134.0,75.0,73196.0,115.0,68830.0,76.0,50752.0,187.0,84965.0,42.0,54642.0,101.0,43774.0,191.0,153397.0,43.0,43809.0,31.0,37594.0,40.0,33755.0,91.0,39853.0,27.0,32043.0,123.0,40946.0,15.0,26156.0,24.0,24485.0,200.0,29129.0,188.0,29183.0,4.0,15654.0,178.0,24162.0,22.0,15982.0
2025-08-07,Golden,Unknown,weekly,1.0,52701971.0,2.0,13111267.0,3,5567690,1.0,2241414.0,1.0,1987484.0,3.0,2476239.0,1,1097792,2,867504,2.0,2421363.0,2,883363,2.0,716866.0,1.0,395472.0,2.0,290435.0,8.0,188020.0,2.0,782469.0,3.0,557837.0,2.0,102910.0,11.0,82085.0,4.0,34564.0,1CPZ5BxNNd0n0nF4Orb9JS,69.0,2321377.0,68.0,2145851.0,89.0,1702593.0,42.0,1038995.0,7.0,805658.0,62.0,767247.0,25.0,666413.0,16.0,652651.0,34.0,582945.0,73.0,549676.0,53.0,665338.0,107.0,415996.0,125.0,383266.0,41.0,291690.0,30.0,253810.0,14.0,301741.0,8.0,256615.0,5.0,217883.0,2.0,218827.0,3.0,204335.0,13.0,231913.0,22.0,216298.0,19.0,198897.0,,,32.0,131683.0,27.0,95710.0,124.0,111851.0,9.0,78371.0,123.0,99036.0,67.0,78132.0,117.0,64925.0,74.0,53413.0,172.0,88123.0,46.0,52681.0,99.0,45137.0,,,37.0,46038.0,24.0,40031.0,39.0,34790.0,96.0,39706.0,25.0,33203.0,135.0,38703.0,15.0,27986.0,19.0,26372.0,172.0,31445.0,183.0,29854.0,4.0,17563.0,156.0,26663.0,20.0,17487.0
2025-08-14,Golden,Unknown,weekly,1.0,53375081.0,1.0,13327695.0,3,5473543,1.0,2341049.0,1.0,2123534.0,1.0,2688669.0,1,1046667,2,820610,2.0,2432304.0,2,836912,2.0,667828.0,1.0,416714.0,2.0,295882.0,10.0,182805.0,1.0,852709.0,1.0,658861.0,2.0,111851.0,9.0,81490.0,3.0,37141.0,1CPZ5BxNNd0n0nF4Orb9JS,70.0,2285439.0,80.0,1974783.0,81.0,1738342.0,42.0,971377.0,9.0,808745.0,55.0,790403.0,27.0,652779.0,13.0,734673.0,45.0,607690.0,67.0,550153.0,52.0,728207.0,105.0,427531.0,131.0,373204.0,43.0,289648.0,34.0,248644.0,14.0,321254.0,6.0,274279.0,4.0,224350.0,2.0,244722.0,3.0,215222.0,11.0,257523.0,18.0,232750.0,16.0,202854.0,,,34.0,146900.0,27.0,94462.0,117.0,108924.0,9.0,80859.0,123.0,97049.0,69.0,78932.0,122.0,64769.0,72.0,51886.0,169.0,87049.0,47.0,54755.0,128.0,41971.0,,,37.0,47146.0,22.0,41260.0,54.0,32057.0,93.0,38546.0,27.0,32372.0,118.0,42056.0,13.0,29214.0,18.0,27183.0,182.0,30077.0,189.0,28897.0,4.0,17853.0,154.0,26467.0,21.0,17718.0
